time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,pitch_sum,raw_divergence,color_count,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw,pos_z_inverted
0 days 00:00:28.445191,-1.943596606060606,0.5549715757575757,-0.9194394545454545,-0.008451363636363637,-0.004973393939393939,-0.011681424242424243,-0.004085757575757576,-0.0038301212121212122,0.012753212121212122,-0.0008614545454545455,0.0012187575757575757,0.00024266666666666664,10.0,-55.0,38.0,0.0,0.0,0.0,0.0,0.0,2820.0,6504.0,-0.6060606060606061,30.0,0.8181818181818182,0.9194394545454545
0 days 00:00:28.510191,-1.9441639393939394,0.5546349696969697,-0.920183909090909,-0.008720757575757576,-0.005216333333333334,-0.010878484848484847,-0.003969787878787879,-0.0035625757575757575,0.011668757575757575,-0.0008571515151515151,0.0012313636363636363,0.0002510909090909091,10.0,-55.0,38.0,0.0,0.0,0.0,0.0,0.0,2783.757575757576,6504.212121212121,2.696969696969697,32.21212121212121,-0.06060606060606061,0.920183909090909
0 days 00:00:28.575191,-1.944757294117647,0.5542741176470588,-0.9207939411764707,-0.008931264705882354,-0.005783323529411764,-0.0063202647058823525,0.0007831764705882354,-0.03533205882352941,0.04610514705882353,-0.004345323529411765,0.0007410588235294117,0.0002043529411764706,10.0,-50.14705882352941,34.64705882352941,-0.0006705882352941176,-0.0027607647058823528,0.0,0.01282055882352941,-0.0030025588235294116,2528.0588235294117,6552.764705882353,-701.3823529411765,-214.0,-52.85294117647059,0.9207939411764707
0 days 00:00:28.640191,-1.9452953030303028,0.5535309696969697,-0.9214458181818181,-0.005565606060606061,-0.022406212121212122,-0.015604939393939393,0.14398057575757575,-0.5774876363636364,-0.10098821212121212,-0.06227887878787879,-0.014744848484848486,-0.0005905151515151516,10.0,-52.90909090909091,39.39393939393939,0.028774,-0.0025726666666666667,0.0,-0.1364390909090909,0.12964766666666666,2824.969696969697,6465.363636363636,348.09090909090907,-139.36363636363637,-235.12121212121212,0.9214458181818181
0 days 00:00:28.705191,-1.9451012121212121,0.5502057575757576,-0.9221986969696969,0.014888545454545455,-0.08411342424242424,-0.002967060606060606,0.48116554545454543,-1.1888060606060606,0.24668215151515152,-0.13194860606060607,-0.05219133333333333,-0.00041239393939393937,10.0,-46.18181818181818,41.93939393939394,0.03572509090909091,0.0009054545454545456,0.0,-1.2288223939393939,0.09440709090909091,2842.181818181818,6521.757575757576,557.0,252.1818181818182,-49.18181818181818,0.9221986969696969
0 days 00:00:28.770191,-1.9427502647058823,0.5417561764705882,-0.9222854705882353,0.057264176470588235,-0.165646,-0.005076147058823529,0.7380120882352941,-1.148264911764706,-0.19143517647058825,-0.12880976470588235,-0.07919141176470589,0.0004822352941176471,10.0,-35.88235294117647,43.411764705882355,0.022365264705882355,0.011796058823529411,0.0,-3.48866,-0.015870617647058823,2834.823529411765,6698.911764705882,170.41176470588235,159.47058823529412,78.08823529411765,0.9222854705882353
0 days 00:00:28.835191,-1.9371768484848486,0.5283262121212121,-0.9229306969696971,0.10882245454545454,-0.229248,-0.011097606060606061,0.7776854242424243,-0.7062736363636364,0.06268930303030304,-0.09270654545454546,-0.08999439393939394,0.00042963636363636365,10.0,-31.606060606060606,41.60606060606061,0.021866333333333335,0.027138,0.0,-6.3495162121212125,0.021527666666666667,2843.757575757576,6438.212121212121,40.27272727272727,115.12121212121212,105.75757575757575,0.9229306969696971
0 days 00:00:28.900191,-1.928290484848485,0.5120545454545454,-0.923278,0.15884284848484848,-0.25682539393939396,0.0031774242424242424,0.7217214242424242,-0.1588808787878788,0.32423290909090907,-0.04098075757575758,-0.0913788484848485,0.00026424242424242427,10.0,-31.484848484848484,39.54545454545455,0.02173172727272727,0.04107272727272727,0.0,-9.37912593939394,0.023750545454545455,2849.939393939394,6270.30303030303,-225.5151515151515,209.27272727272728,105.54545454545455,0.923278
0 days 00:00:28.965191,-1.9163206363636365,0.49502324242424245,-0.9222154848484849,0.20083242424242423,-0.2553858787878788,0.03028390909090909,0.5400742727272727,0.15373366666666666,0.4802758181818182,-0.008598030303030304,-0.07775257575757576,0.00012666666666666666,10.0,-33.36363636363637,37.18181818181818,0.016063666666666664,0.05574218181818182,0.0,-12.198915696969696,-0.00383721212121212,2846.5454545454545,6137.484848484848,-110.3030303030303,-62.42424242424242,58.03030303030303,0.9222154848484849
0 days 00:00:29.030191,-1.9017687352941177,0.478367,-0.9189092941176471,0.23061805882352943,-0.2403695882352941,0.07014423529411765,0.37054488235294114,0.26849458823529415,0.7014920294117647,0.005122294117647059,-0.06450667647058823,0.00011379411764705883,10.0,-38.529411764705884,34.61764705882353,0.008521294117647057,0.07081570588235295,0.0,-14.552056882352941,-0.005271000000000001,2841.9411764705883,5975.323529411765,-142.5,-80.3529411764706,13.264705882352942,0.9189092941176471
0 days 00:00:29.095191,-1.8855166060606061,0.46286115151515156,-0.912581484848485,0.25328866666666666,-0.2226581515151515,0.1177919696969697,0.3219208484848485,0.22731524242424242,0.6702760606060606,0.0021045757575757574,-0.061674151515151515,-9.375757575757576e-05,10.0,-41.484848484848484,33.03030303030303,0.049315,0.07930390909090908,0.0,-16.64508212121212,0.18831627272727272,2921.030303030303,6034.757575757576,-12.333333333333334,66.63636363636364,27.151515151515152,0.912581484848485
0 days 00:00:29.160191,-1.8680809393939393,0.4485368484848485,-0.9034901515151514,0.2739973636363636,-0.21274551515151516,0.1541329696969697,0.3004278484848485,0.08463254545454545,0.428128303030303,-0.012333515151515151,-0.059991272727272726,-0.00011709090909090908,10.0,-41.42424242424242,32.57575757575758,0.076603,0.08675809090909091,0.0,-18.66387390909091,0.14892136363636366,2988.0,6181.787878787879,-78.03030303030303,78.75757575757575,43.03030303030303,0.9034901515151514
0 days 00:00:29.225191,-1.8493562727272728,0.4345820909090909,-0.892515696969697,0.29184839393939394,-0.21135266666666666,0.1760958484848485,0.23438448484848484,-0.06707430303030304,0.28981778787878787,-0.028550757575757577,-0.05389730303030303,4.3848484848484845e-05,10.0,-41.36363636363637,33.0,0.06697833333333333,0.09247200000000001,0.0,-20.55143690909091,0.018452666666666666,2996.0,6197.666666666667,-29.90909090909091,4.787878787878788,28.78787878787879,0.892515696969697
0 days 00:00:29.290191,-1.8293118823529413,0.4200454411764706,-0.8799539117647059,0.3047782352941177,-0.22462594117647058,0.19943544117647058,0.15856091176470588,-0.3056965588235294,0.4012559117647059,-0.055970970588235296,-0.04780705882352941,6.611764705882353e-05,10.0,-42.0,33.0,0.065139,0.097758,0.0,-22.246402676470588,0.055358,3030.705882352941,6120.029411764706,271.61764705882354,-2.9411764705882355,0.3235294117647059,0.8799539117647059
0 days 00:00:29.355191,-1.8085460606060606,0.40423466666666663,-0.8656624848484848,0.3139843636363637,-0.24660972727272726,0.22618048484848483,0.12166612121212121,-0.307371,0.37494451515151517,-0.057938424242424236,-0.04476951515151516,2.496969696969697e-05,10.0,-42.0,33.0,0.06908863636363637,0.10208672727272727,0.0,-23.790864757575758,0.07864454545454545,3077.030303030303,6146.181818181818,-0.6363636363636364,38.57575757575758,-16.90909090909091,0.8656624848484848
0 days 00:00:29.420191,-1.7875519696969697,0.3873487272727273,-0.8499573939393941,0.32116063636363634,-0.2630960303030303,0.24807651515151513,0.09448084848484849,-0.19893863636363637,0.3017487272727273,-0.04762009090909091,-0.042296121212121215,-0.00011854545454545454,10.0,-42.0,32.27272727272727,0.07391400000000001,0.10705833333333332,0.0,-25.230149575757576,0.09636233333333333,3108.181818181818,6165.333333333333,19.181818181818183,41.54545454545455,6.515151515151516,0.8499573939393941
0 days 00:00:29.485191,-1.7661525151515152,0.36958884848484846,-0.8329149696969698,0.3261691515151515,-0.2733045757575757,0.267373,0.05718363636363636,-0.09592730303030303,0.283946696969697,-0.03740266666666667,-0.0387690303030303,-0.00012524242424242425,10.0,-42.0,30.545454545454547,0.08147387878787878,0.11081281818181818,0.0,-26.569529545454547,0.10631033333333333,3157.090909090909,6160.424242424242,61.21212121212121,22.424242424242426,18.363636363636363,0.8329149696969698
0 days 00:00:29.550191,-1.7441751176470588,0.35119285294117647,-0.8143484999999999,0.328774,-0.27313052941176474,0.2858755294117647,0.0224,0.09074217647058824,0.28245655882352944,-0.017340735294117646,-0.03534541176470588,2.8323529411764705e-05,10.0,-42.55882352941177,28.88235294117647,0.08131182352941177,0.11314682352941177,0.0,-27.808322970588236,0.07768782352941175,3194.9411764705883,6131.35294117647,-105.97058823529412,20.323529411764707,-4.735294117647059,0.8143484999999999
0 days 00:00:29.615191,-1.7220965757575757,0.33316351515151515,-0.7944960303030302,0.3293388181818182,-0.2637052121212121,0.3063439090909091,-0.0032066060606060604,0.17564727272727274,0.31085439393939396,-0.007398060606060606,-0.03281969696969697,-3.666666666666666e-06,10.0,-43.0,27.272727272727273,0.080269,0.11450166666666667,0.0,-28.948141393939395,0.06930599999999999,3223.818181818182,6120.666666666667,13.454545454545455,30.545454545454547,-4.333333333333333,0.7944960303030302
0 days 00:00:29.680191,-1.700359090909091,0.3161725151515151,-0.7736207272727273,0.3285343333333333,-0.25023696969696974,0.3245274545454545,-0.02095878787878788,0.23251542424242425,0.2426548181818182,0.00014830303030303031,-0.03063921212121212,-7.342424242424243e-05,10.0,-43.0,25.09090909090909,0.09448772727272726,0.11585772727272727,0.0,-29.99557542424242,0.13913351515151515,3291.090909090909,6152.0,-7.7272727272727275,33.333333333333336,7.181818181818182,0.7736207272727273
0 days 00:00:29.745191,-1.6787156666666665,0.3001982424242424,-0.7516644848484848,0.32648296969696966,-0.23302721212121214,0.3396744242424242,-0.04095818181818182,0.28494763636363635,0.21696084848484848,0.007497878787878789,-0.02823657575757576,-5.509090909090909e-05,10.0,-42.75757575757576,23.757575757575758,0.09606957575757576,0.11638569696969697,0.0,-30.967449757575757,0.11057572727272728,3324.5454545454545,6163.666666666667,-68.81818181818181,27.818181818181817,10.303030303030303,0.7516644848484848
0 days 00:00:29.810191,-1.656927588235294,0.2852389705882353,-0.7284443529411764,0.3231322058823529,-0.21353791176470588,0.3516654705882353,-0.05827376470588236,0.27724367647058823,0.14736732352941176,0.008377852941176472,-0.025874323529411766,-1.4323529411764707e-05,10.0,-42.0,22.647058823529413,0.09226979411764706,0.11670088235294117,0.0,-31.872871205882355,0.08792311764705883,3369.4117647058824,6191.14705882353,-89.79411764705883,26.941176470588236,9.088235294117647,0.7284443529411764
0 days 00:00:29.875191,-1.6354011515151514,0.27146736363636365,-0.7045072727272728,0.318671393939394,-0.19864542424242423,0.36227275757575755,-0.07361357575757575,0.15967575757575758,0.15148206060606062,-0.0028293636363636364,-0.023829424242424242,-1.0363636363636364e-05,10.0,-41.09090909090909,22.0,0.10432057575757576,0.11645587878787879,0.0,-32.704603484848484,0.12651718181818183,3437.2727272727275,6206.363636363636,16.060606060606062,29.424242424242426,10.272727272727273,0.7045072727272728
0 days 00:00:29.940191,-1.6145177878787877,0.258604,-0.6803426060606059,0.3135046363636364,-0.19219103030303028,0.3677056060606061,-0.08304418181818181,0.03823693939393939,0.031088454545454548,-0.015053424242424243,-0.022028545454545453,-4.727272727272727e-06,10.0,-39.75757575757576,22.0,0.08501987878787878,0.11600724242424243,0.0,-33.46116975757575,-0.022985090909090906,3445.3939393939395,6261.69696969697,11.93939393939394,31.424242424242426,7.2727272727272725,0.6803426060606059
0 days 00:00:30.005191,-1.593692294117647,0.24570741176470587,-0.6555900294117647,0.3075094705882353,-0.19358670588235294,0.37086361764705883,-0.09557373529411764,-0.06978520588235294,0.06867123529411764,-0.026694764705882355,-0.020197558823529412,-1.4000000000000001e-05,10.0,-38.64705882352941,21.647058823529413,0.12038664705882353,0.11493932352941176,0.0,-34.16812135294118,0.21550879411764706,3563.764705882353,6229.588235294118,130.76470588235293,27.470588235294116,6.5,0.6555900294117647
0 days 00:00:30.070191,-1.5732930606060607,0.23253536363636362,-0.6305585454545455,0.3007777575757576,-0.19910778787878788,0.3754725151515152,-0.10461893939393939,-0.06424424242424243,0.06373181818181818,-0.02636187878787879,-0.01857178787878788,4.9696969696969696e-06,10.0,-37.54545454545455,20.545454545454547,0.10980842424242424,0.11371375757575758,0.0,-34.81681393939394,0.0767440303030303,3604.3636363636365,6235.848484848485,85.51515151515152,29.09090909090909,-1.9393939393939394,0.6305585454545455
0 days 00:00:30.135191,-1.553658484848485,0.21933924242424244,-0.6056198484848487,0.29365639393939397,-0.19875736363636365,0.37932272727272726,-0.11079733333333333,0.07823999999999999,0.05349254545454546,-0.011082545454545454,-0.017199939393939396,-1.2666666666666667e-05,10.0,-36.75757575757576,19.515151515151516,0.11195933333333333,0.11256748484848485,0.0,-35.406646787878785,0.12031896969696969,3652.7272727272725,6238.909090909091,-77.93939393939394,30.454545454545453,-6.151515151515151,0.6056198484848487
0 days 00:00:30.200191,-1.5345068181818182,0.20646893939393937,-0.5804522424242426,0.286172393939394,-0.1899040303030303,0.38235242424242427,-0.11581027272727273,0.18012757575757576,0.03797878787878788,0.0005714545454545455,-0.015906090909090908,-9.145454545454545e-05,10.0,-35.666666666666664,17.666666666666668,0.11325939393939394,0.11050845454545455,0.0,-35.95282618181818,0.11560242424242423,3716.0,6247.818181818182,-10.393939393939394,30.484848484848484,7.878787878787879,0.5804522424242426
0 days 00:00:30.265191,-1.5155833235294118,0.19421144117647057,-0.5547322058823532,0.2782559117647059,-0.17517029411764706,0.3844738823529412,-0.12026888235294117,0.24498494117647057,0.02682255882352941,0.008789764705882353,-0.014637529411764705,-6.138235294117646e-05,10.0,-34.705882352941174,16.852941176470587,0.105346,0.109348,0.0,-36.464094411764705,0.065859,3740.9411764705883,6253.294117647059,-112.05882352941177,29.529411764705884,14.823529411764707,0.5547322058823532
0 days 00:00:30.330191,-1.497197,0.18300121212121212,-0.5288976666666667,0.27008375757575753,-0.15985324242424243,0.38570169696969697,-0.12335409090909091,0.19674045454545455,0.005409363636363637,0.00501739393939394,-0.013478090909090908,1.709090909090909e-05,10.0,-33.0,15.757575757575758,0.11374175757575757,0.10840363636363635,0.0,-36.934766151515156,0.11239775757575757,3793.3939393939395,6276.030303030303,75.72727272727273,29.90909090909091,8.818181818181818,0.5288976666666667
0 days 00:00:30.395191,-1.4796278484848486,0.17282745454545453,-0.5034520606060606,0.26189366666666664,-0.14867009090909092,0.3838743333333334,-0.12466481818181818,0.16597766666666666,-0.06077039393939394,0.0030434545454545454,-0.012445545454545454,6.627272727272728e-05,10.0,-32.333333333333336,14.666666666666666,0.135376,0.10426327272727273,0.0,-37.36228484848485,0.1999699393939394,3904.6666666666665,6320.030303030303,89.12121212121212,31.333333333333332,-6.242424242424242,0.5034520606060606
0 days 00:00:30.460191,-1.4626025454545455,0.16343639393939394,-0.47824724242424255,0.2536173636363636,-0.1347960606060606,0.3790206666666666,-0.12614672727272727,0.25350424242424247,-0.07983627272727273,0.01358518181818182,-0.01145269696969697,2.545454545454545e-06,10.0,-30.757575757575758,14.0,0.11226227272727272,0.10254181818181818,0.0,-37.75655427272727,0.008632181818181818,3909.6363636363635,6328.272727272727,-180.0909090909091,30.606060606060606,-8.515151515151516,0.47824724242424255
0 days 00:00:30.525191,-1.4458832647058824,0.1549806176470588,-0.45301929411764696,0.2451234117647059,-0.11827494117647058,0.37327270588235295,-0.12724823529411763,0.20345785294117646,-0.09013941176470588,0.00958814705882353,-0.010492441176470588,-0.00014141176470588234,10.0,-28.764705882352942,13.764705882352942,0.10326020588235295,0.0994060588235294,0.0,-38.123804676470584,0.07684473529411764,3955.764705882353,6331.941176470588,-54.294117647058826,29.88235294117647,20.38235294117647,0.45301929411764696
0 days 00:00:30.590191,-1.4297330606060605,0.14737160606060606,-0.428156909090909,0.23657206060606062,-0.11068048484848485,0.36876800000000004,-0.12777448484848486,0.034699181818181817,-0.04695127272727273,-0.007310151515151515,-0.009648575757575757,-5.0363636363636366e-05,10.0,-27.333333333333332,13.0,0.10858478787878788,0.09685618181818183,0.0,-38.4608676060606,0.12274930303030304,4029.3333333333335,6315.272727272727,181.1818181818182,30.545454545454547,22.272727272727273,0.428156909090909
0 days 00:00:30.655191,-1.414385393939394,0.1400999696969697,-0.4039370606060608,0.22818172727272726,-0.10954439393939394,0.3637752121212121,-0.12641363636363634,0.02133442424242424,-0.10601372727272727,-0.008361878787878788,-0.008912212121212121,0.0001303030303030303,10.0,-25.757575757575758,12.878787878787879,0.09932772727272728,0.09490218181818183,0.0,-38.76698672727273,0.05756645454545454,4056.4848484848485,6360.090909090909,-62.515151515151516,31.03030303030303,-17.696969696969695,0.4039370606060608
0 days 00:00:30.720191,-1.3995892727272727,0.13292075757575758,-0.38015548484848494,0.2198771515151515,-0.10773790909090909,0.35609375757575756,-0.12525527272727272,0.0307600303030303,-0.12379463636363637,-0.007191606060606061,-0.008207757575757575,-2.1666666666666667e-05,10.0,-23.575757575757574,12.0,0.10279972727272726,0.09151618181818182,0.0,-39.04938906060606,0.11303863636363637,4125.212121212121,6373.0,56.42424242424242,30.575757575757574,-13.090909090909092,0.38015548484848494
0 days 00:00:30.785191,-1.385128705882353,0.1257865588235294,-0.3565664705882352,0.2115305294117647,-0.10473920588235294,0.34741329411764704,-0.12387544117647058,0.05729688235294118,-0.13363858823529412,-0.004136235294117647,-0.00753129411764706,-0.0001706764705882353,10.0,-21.941176470588236,11.970588235294118,0.093956,0.089501,0.0,-39.31281702941176,0.058443,4154.058823529412,6382.0,-99.91176470588235,30.88235294117647,18.970588235294116,0.3565664705882352
0 days 00:00:30.850191,-1.3712217878787878,0.1188790909090909,-0.33357581818181825,0.20329093939393938,-0.10162987878787878,0.33814357575757575,-0.12200590909090911,0.029787121212121213,-0.14486393939393938,-0.006731757575757576,-0.006916454545454545,-5.424242424242424e-05,10.0,-19.87878787878788,10.878787878787879,0.10104554545454544,0.08594436363636364,0.0,-39.55469539393939,0.12353354545454545,4230.606060606061,6395.0,141.15151515151516,31.060606060606062,18.727272727272727,0.33357581818181825
0 days 00:00:30.915191,-1.3580597575757576,0.11223851515151514,-0.31153157575757584,0.19530009090909092,-0.09896057575757576,0.3298978484848485,-0.12016854545454544,0.07143742424242425,-0.09860342424242424,-0.0019712727272727273,-0.006362424242424242,0.00011757575757575758,10.0,-18.575757575757574,10.0,0.10699590909090909,0.08319836363636364,0.0,-39.773682575757576,0.12568427272727273,4312.090909090909,6366.272727272727,-32.15151515151515,30.96969696969697,-14.878787878787879,0.31153157575757584
0 days 00:00:30.980191,-1.3452348235294116,0.10583876470588235,-0.28965841176470597,0.18733826470588233,-0.09125302941176472,0.3218827941176471,-0.11745220588235294,0.13834885294117646,-0.15013900000000002,0.005551441176470588,-0.005840323529411765,-5.294117647058824e-06,10.0,-16.941176470588236,9.970588235294118,0.115568,0.08113,0.0,-39.97794732352941,0.151313,4384.14705882353,6417.0,-159.7058823529412,30.676470588235293,-12.882352941176471,0.28965841176470597
0 days 00:00:31.045191,-1.3329350303030303,0.09998933333333333,-0.2684319393939394,0.17956333333333332,-0.0842069696969697,0.31100360606060606,-0.11468566666666667,0.059792,-0.1704888787878788,-0.002010878787878788,-0.005362151515151515,-0.00018069696969696971,8.025882363636365,-14.757575757575758,9.0,0.10421836363636364,0.07754345454545455,0.04094606060606061,-40.165601606060605,0.06826736363636363,4428.787878787879,6432.818181818182,173.12121212121212,47.63636363636363,24.696969696969695,0.2684319393939394
0 days 00:00:31.110191,-1.3213262727272728,0.09452654545454545,-0.24827187878787882,0.17192424242424242,-0.081279,0.2993838181818182,-0.11971509090909091,0.04935236363636364,-0.1757331515151515,-0.002637575757575758,-0.004075666666666667,-1.106060606060606e-05,5.362195878787879,-13.0,8.787878787878787,0.10464909090909091,0.07479018181818181,0.10394,-40.326539878787884,0.10711372727272726,4499.636363636364,6426.363636363636,-45.121212121212125,48.45454545454545,11.333333333333334,0.24827187878787882
0 days 00:00:31.175191,-1.3102476363636364,0.08928639393939394,-0.22880469696969707,0.16334215151515152,-0.07715566666666666,0.29144387878787875,-0.1418639696969697,0.07496651515151516,-0.058209030303030304,0.00041248484848484853,-0.000959969696969697,8.960606060606061e-05,5.326377212121212,-13.0,8.0,0.116741,0.07264,0.10394,-40.41318618181818,0.169136,4580.0,6347.0,60.484848484848484,23.939393939393938,-18.060606060606062,0.22880469696969707
0 days 00:00:31.240191,-1.2996365588235295,0.0843210588235294,-0.20940608823529416,0.1531130588235294,-0.07047741176470589,0.2861535,-0.1569279705882353,0.12203432352941178,-0.13328620588235293,0.005896382352941176,0.0015286176470588235,-6.35e-05,5.290260941176471,-10.882352941176471,7.882352941176471,0.07432047058823531,0.0684179411764706,0.10394,-40.39240970588236,-0.06095941176470589,4544.705882352941,6449.529411764706,-144.58823529411765,-69.70588235294117,-7.647058823529412,0.20940608823529416
